Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_WAVES
144,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,103,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
146,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,105,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
147,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,106,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
149,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,108,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
151,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,110,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
152,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,111,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
159,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,118,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
161,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,120,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
162,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,121,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
164,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,123,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
166,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,125,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
167,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,126,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
174,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,133,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
176,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,135,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
177,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,136,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
179,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,138,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
181,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,140,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
182,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,141,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
189,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,148,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
191,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,150,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
192,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,151,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
194,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,153,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
196,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,155,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
197,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,156,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
204,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,163,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
206,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,165,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
207,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,166,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
209,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,168,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
