Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_WAVES
491,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,446,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,512
498,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,453,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cf80,2048
500,"void tmac_gemv_fused_glu<(ggml_type)12, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,455,3412894,3412894,262144,256,0,0,80,0,128,32,0x0,0x73fe2792d000,8192
501,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,456,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cf80,2048
503,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,458,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,2048
505,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,460,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,512
506,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,461,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,512
513,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,468,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cf80,2048
515,"void tmac_gemv_fused_glu<(ggml_type)12, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,470,3412894,3412894,262144,256,0,0,80,0,128,32,0x0,0x73fe2792d000,8192
516,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,471,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cf80,2048
518,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,473,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,2048
520,"void tmac_gemv_direct<(ggml_type)14, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,475,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792d3c0,512
521,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,476,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,512
528,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,483,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,2048
533,"void tmac_gemv_fused_glu<(ggml_type)12, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,488,3412894,3412894,262144,256,0,0,80,0,128,32,0x0,0x73fe2792d000,8192
534,"void tmac_gemv_direct<(ggml_type)14, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,489,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792d380,2048
536,"void tmac_gemv_direct<(ggml_type)14, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,491,3412894,3412894,4104192,256,0,0,72,0,128,32,0x0,0x73fe2792d3c0,128256
