# date=2026-03-05T21:59:11+00:00,rocm=7.2.0,hip=7.2.26015-fc0010cf6a,gpu=AMD Radeon RX 7900 XTX,kernel=6.17.0-14-generic,commit=760af6ce3
model,metric,run,variant,tokens_per_sec
1B-IQ2_XXS,tg128,4,tmac,453.596090
1B-IQ2_XXS,tg128,4,stock,366.140484
1B-IQ2_XXS,tg128,5,tmac,454.634373
1B-IQ2_XXS,tg128,5,stock,367.682226
1B-IQ2_XXS,pp512,1,tmac,7223.989866
1B-IQ2_XXS,pp512,1,stock,7216.547476
1B-IQ2_XXS,pp512,2,tmac,7199.258938
1B-IQ2_XXS,pp512,2,stock,7199.654867
1B-IQ2_XXS,pp512,3,tmac,7228.590873
1B-IQ2_XXS,pp512,3,stock,7224.306869
1B-IQ2_XXS,pp512,4,tmac,7224.928827
1B-IQ2_XXS,pp512,4,stock,7206.999438
1B-IQ2_XXS,pp512,5,tmac,7191.146171
1B-IQ2_XXS,pp512,5,stock,7216.730569
1B-IQ2_XS,tg128,1,tmac,419.920049
1B-IQ2_XS,tg128,1,stock,364.702116
1B-IQ2_XS,tg128,2,tmac,419.558698
1B-IQ2_XS,tg128,2,stock,364.834148
1B-IQ2_XS,tg128,3,tmac,418.997712
1B-IQ2_XS,tg128,3,stock,364.187252
1B-IQ2_XS,tg128,4,tmac,419.977835
1B-IQ2_XS,tg128,4,stock,363.068645
1B-IQ2_XS,tg128,5,tmac,420.391696
1B-IQ2_XS,tg128,5,stock,364.338139
1B-IQ2_XS,pp512,1,tmac,12999.456841
1B-IQ2_XS,pp512,1,stock,12994.352964
1B-IQ2_XS,pp512,2,tmac,12991.438262
1B-IQ2_XS,pp512,2,stock,13017.979890
1B-IQ2_XS,pp512,3,tmac,13057.658949
1B-IQ2_XS,pp512,3,stock,12975.465928
1B-IQ2_XS,pp512,4,tmac,13047.207063
1B-IQ2_XS,pp512,4,stock,12975.186426
1B-IQ2_XS,pp512,5,tmac,13183.678668
1B-IQ2_XS,pp512,5,stock,13005.100184
1B-IQ1_M,tg128,1,tmac,487.742392
1B-IQ1_M,tg128,1,stock,450.446868
1B-IQ1_M,tg128,2,tmac,486.515401
1B-IQ1_M,tg128,2,stock,452.938589
1B-IQ1_M,tg128,3,tmac,486.164126
1B-IQ1_M,tg128,3,stock,451.001845
1B-IQ1_M,tg128,4,tmac,487.653993
1B-IQ1_M,tg128,4,stock,451.822684
1B-IQ1_M,tg128,5,tmac,485.922582
1B-IQ1_M,tg128,5,stock,448.840192
1B-IQ1_M,pp512,1,tmac,11993.644774
1B-IQ1_M,pp512,1,stock,12024.977852
1B-IQ1_M,pp512,2,tmac,11957.554419
1B-IQ1_M,pp512,2,stock,12085.230522
1B-IQ1_M,pp512,3,tmac,12038.799074
1B-IQ1_M,pp512,3,stock,12039.382513
1B-IQ1_M,pp512,4,tmac,11986.346989
1B-IQ1_M,pp512,4,stock,12070.052984
1B-IQ1_M,pp512,5,tmac,12009.635950
1B-IQ1_M,pp512,5,stock,12030.578347
8B-Q5_K_M,tg128,1,tmac,102.612759
8B-Q5_K_M,tg128,1,stock,96.469978
8B-Q5_K_M,tg128,2,tmac,102.643081
8B-Q5_K_M,tg128,2,stock,96.546761
8B-Q5_K_M,tg128,3,tmac,102.570282
8B-Q5_K_M,tg128,3,stock,96.446561
8B-Q5_K_M,tg128,4,tmac,102.507240
